Team,Rating
Coventry City,1443
Leeds United,1455
Sheffield Utd,1353
Crystal Palace,1616
Arsenal,1832
Ipswich Town,1482
Everton,1574
Southampton,1414
Chelsea,1686
Nott'ham Forest,1497
Manchester City,1888
Blackburn,1443
Wimbledon,1396
Tottenham,1645
Liverpool,1779
Aston Villa,1673
Oldham Athletic,1434
Middlesbrough,1414
Norwich City,1362
QPR,1413
Manchester Utd,1654
Sheffield Weds,1450
Newcastle Utd,1660
West Ham,1569
Swindon Town,1401
Leicester City,1504
Bolton,1484
Sunderland,1407
Derby County,1272
Barnsley,1433
Charlton Ath,1476
Watford,1382
Bradford City,1401
Fulham,1563
Birmingham City,1488
West Brom,1442
Portsmouth,1436
Wolves,1529
Wigan Athletic,1505
Reading,1423
Hull City,1458
Stoke City,1490
Burnley,1436
Blackpool,1483
Swansea City,1473
Cardiff City,1446
Bournemouth,1549
Brighton,1564
Huddersfield,1349
Brentford,1543
Luton Town,1431
